B-Header	Proceedings of HLT-NAACL 2003	page=0 xpos=6 ypos=0 right-column left-indent font-smallest page-top year headchar-capital
I-Body	string may correspond to more than one structure):	page=3 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-colon above-double-space above-line-space
B-Listitem	A prototype is ready.	page=3 xpos=0 ypos=1 left-column left-indent right-indent font-smallest indented-line shorter-tail line-double-space line-space headchar-capital tailchar-period
B-Listitem	A prototype is ready for testing.	page=3 xpos=0 ypos=1 left-column left-indent right-indent font-smallest aligned-line longer-tail headchar-capital tailchar-period
I-Listitem	Leary hopes to set requirements for a full system.	page=3 xpos=0 ypos=1 left-column left-indent right-indent font-smallest aligned-line longer-tail headchar-capital tailchar-period
B-Listitem	A prototype is ready and Leary hopes to set require-	page=3 xpos=0 ypos=1 left-column centered left-indent right-indent font-smallest aligned-line longer-tail headchar-capital tailchar-hiphen
I-Listitem	ments for a full system.	page=3 xpos=0 ypos=1 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period
B-Listitem	A prototype is ready for testing and Leary hopes to	page=3 xpos=0 ypos=1 left-column centered left-indent right-indent font-smallest aligned-line longer-tail headchar-capital
I-Listitem	set requirements for a full system.	page=3 xpos=0 ypos=1 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period
B-Listitem	Leary hopes to set requirements for a full system by	page=3 xpos=0 ypos=2 left-column centered left-indent right-indent font-smallest aligned-line longer-tail headchar-capital
I-Listitem	the end of the year.	page=3 xpos=0 ypos=2 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period
B-Listitem	A prototype is ready and Leary hopes to set require-	page=3 xpos=0 ypos=2 left-column centered left-indent right-indent font-smallest aligned-line longer-tail headchar-capital tailchar-hiphen
I-Listitem	ments for a full system by the end of the year.	page=3 xpos=0 ypos=2 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period
B-Listitem	A prototype is ready for testing and Leary hopes to	page=3 xpos=0 ypos=2 left-column centered left-indent right-indent font-smallest aligned-line longer-tail headchar-capital
I-Listitem	set requirements for a full system by the end of the	page=3 xpos=0 ypos=2 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Listitem	year.	page=3 xpos=0 ypos=3 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	In order to guarantee non-empty output for the over-	page=3 xpos=0 ypos=3 left-column left-indent hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	all condensation system, the generation component has	page=3 xpos=0 ypos=3 left-column full-justified hanged-line headchar-lower
I-Body	to be fault-tolerant in cases where the transfer system op-	page=3 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	erates on a fragmentary parse, or produces non-valid f -	page=3 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	structures from valid input f -structures. Robustness tech-	page=3 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	niques currently applied to the generator include insertion	page=3 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	and deletion of features in order to match invalid transfer-	page=3 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	output to the grammar rules and lexicon. Furthermore,	page=3 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	repair mechanisms such as repairing subject-verb agree-	page=3 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ment from the subject’s number value are employed. As	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	a last resort, a fall-back mechanism to the original un-	page=3 xpos=0 ypos=5 left-column full-justified aligned-line itemization headchar-lower tailchar-hiphen
I-Body	condensed f -structure is used. These techniques guaran-	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tee that a non-empty set of reduced f -structures yielding	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	grammatical strings in generation is passed on to the next	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	system component. In case of fragmentary input to the	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	transfer component, grammaticaliy of the output is guar-	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	anteed for the separate fragments. In other words, strings	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	generated from a reduced fragmentary f -structure will be	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	as grammatical as the string that was fed into the parsing	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
E-Body	component.	page=3 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	After filtering by the generator, the remaining f -	page=3 xpos=0 ypos=7 left-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	structures were weighted by the stochastic disambigua-	page=3 xpos=0 ypos=7 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	tion component. Similar to stochastic disambiguation for	page=3 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	constraint-based parsing (Johnson et al., 1999; Riezler et	page=3 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower
I-Body	al., 2002), an exponential (a.k.a. log-linear or maximum-	page=3 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	entropy) probability model on transferred structures is es-	page=3 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	timated from a set of training data. The data for estima-	page=3 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion consists of pairs of original sentences y and gold-	page=3 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	standard summarized f -structures s which were manu-	page=3 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ally selected from the transfer output for each sentence.	page=3 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	For training data {(s <sub>j</sub> , y j )} <sup>m</sup> <sub>j=1</sub> and a set of possible sum-	page=3 xpos=0 ypos=8 left-column full-justified font-largest aligned-line headchar-capital tailchar-hiphen
I-Body	marized structures S(y) for each sentence y, the objective	page=3 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	was to maximize a discriminative criterion, namely the	page=3 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	conditional likelihood L(λ) of a summarized f -structure	page=3 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	given the sentence. Optimization of the function shown	page=3 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	below was performed using a conjugate gradient opti-	page=3 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen column-bottom
I-Body	mization routine:	page=3 xpos=5 ypos=0 right-column right-indent column-top headchar-lower tailchar-colon above-double-space above-line-space
B-Equation	m	page=3 xpos=7 ypos=0 right-column left-indent right-indent font-smallest indented-line longer-tail line-double-space line-space headchar-lower
I-Equation	L(λ) = log <sup>Y</sup> <sub>P</sub> <sup>e</sup> <sup>λ·f</sup> (s j ) .	page=3 xpos=6 ypos=0 right-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-capital tailchar-period
I-Equation	j=1 s∈S(y j ) e <sup>λ·f</sup> (s)	page=3 xpos=7 ypos=0 right-column left-indent right-indent font-largest indented-line shorter-tail headchar-lower above-double-space above-line-space
B-Body	At the core of the exponential probability model is a vec-	page=3 xpos=5 ypos=0 right-column full-justified hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	tor of property-functions f to be weighted by parameters	page=3 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	λ. For the application of sentence condensation, 13,000	page=3 xpos=5 ypos=1 right-column full-justified aligned-line
I-Body	property-functions of roughly three categories were used:	page=3 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-colon above-double-space above-line-space
B-Listitem	• Property-functions indicating attributes, attribute-	page=3 xpos=5 ypos=1 right-column left-indent font-larger indented-line line-double-space line-space itemization tailchar-hiphen
I-Listitem	combinations, or attribute-value pairs for f -structure	page=3 xpos=5 ypos=2 right-column left-indent indented-line headchar-lower
I-Listitem	attributes (≈ 1,000 properties)	page=3 xpos=5 ypos=2 right-column left-indent right-indent aligned-line shorter-tail headchar-lower above-double-space above-line-space
B-Listitem	• Property-functions indicating co-occurences of verb	page=3 xpos=5 ypos=2 right-column left-indent font-larger hanged-line longer-tail line-double-space line-space itemization
I-Listitem	stems and subcategorization frames (≈ 12,000 prop-	page=3 xpos=5 ypos=2 right-column left-indent indented-line headchar-lower tailchar-hiphen
I-Listitem	erties)	page=3 xpos=5 ypos=2 right-column left-indent right-indent aligned-line shorter-tail headchar-lower above-double-space above-line-space
B-Listitem	• Property-functions indicating transfer rules used to	page=3 xpos=5 ypos=3 right-column left-indent font-larger hanged-line longer-tail line-double-space line-space itemization
I-Listitem	arrive at the reduced f - structures (≈ 60 properties).	page=3 xpos=5 ypos=3 right-column left-indent indented-line headchar-lower tailchar-period above-double-space above-line-space
B-Body	A trained probability model is applied to unseen data	page=3 xpos=5 ypos=3 right-column left-indent hanged-line line-double-space line-space headchar-capital
I-Body	by selecting the most probable transferred f -structure,	page=3 xpos=5 ypos=3 right-column full-justified hanged-line headchar-lower tailchar-comma
I-Body	yielding the string generated from the selected struc-	page=3 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ture as the target condensation. The transfered f -structure	page=3 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
E-Body	chosen for our current example is shown in Fig. 3.	page=3 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
Figure	__Figure 3__	page=3 xpos=5 ypos=4 right-column centered box aligned-line longer-tail line-double-space line-space figure-area above-blank-line above-double-space above-line-space
B-Caption	Figure 3: Transferred f -structure chosen by system.	page=3 xpos=5 ypos=6 right-column centered left-indent right-indent indented-line shorter-tail line-blank-line line-double-space line-space string-figure headchar-capital tailchar-period above-blank-line above-double-space above-line-space
B-Body	This structure was produced by the following set of	page=3 xpos=5 ypos=7 right-column left-indent aligned-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Body	transfer rules, where var refers to the indices in the rep-	page=3 xpos=5 ypos=7 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	resentation of the f -structure:	page=3 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-colon above-double-space above-line-space
B-Listitem	rtrace(r13,keep(var(98),of)),	page=3 xpos=5 ypos=7 right-column left-indent right-indent font-smallest indented-line longer-tail line-double-space line-space headchar-lower tailchar-comma
B-Listitem	rtrace(r161,keep(system,var(85))),	page=3 xpos=5 ypos=7 right-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-comma
B-Listitem	rtrace(r1,del(var(91),set,by)),	page=3 xpos=5 ypos=8 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-comma
B-Listitem	rtrace(r1,del(var(53),be,for)),	page=3 xpos=5 ypos=8 right-column left-indent right-indent font-smallest aligned-line headchar-lower tailchar-comma
B-Listitem	rtrace(r20,equal(var(1),and)),	page=3 xpos=5 ypos=8 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-comma
B-Listitem	rtrace(r20,equal(var(2),and)),	page=3 xpos=5 ypos=8 right-column left-indent right-indent font-smallest aligned-line headchar-lower tailchar-comma
B-Listitem	rtrace(r2,del(var(1),hope,and)),	page=3 xpos=5 ypos=8 right-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-comma
B-Listitem	rtrace(r22,delb(var(0),and)).	page=3 xpos=5 ypos=8 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	These rules delete the adjunct of the first conjunct (for	page=3 xpos=5 ypos=9 right-column full-justified hanged-line longer-tail line-double-space line-space headchar-capital
I-Body	testing), the adjunct of the second conjunct (by the end	page=3 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	of the year), the rest of the second conjunct (Leary hopes	page=3 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	to set requirements for a full system), and the conjunction	page=3 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
E-Body	itself (and).	page=3 xpos=5 ypos=9 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period page-bottom
B-SectionHeader	3 A Method for Automatic Evaluation of	page=4 xpos=0 ypos=0 left-column right-indent font-largest page-top numbered-heading1
I-SectionHeader	Sentence Summarization	page=4 xpos=0 ypos=0 left-column left-indent right-indent font-largest indented-line shorter-tail headchar-capital above-double-space above-line-space
B-Body	Evaluation of quality of sentence condensation systems,	page=4 xpos=0 ypos=0 left-column full-justified hanged-line longer-tail line-double-space line-space headchar-capital tailchar-comma
I-Body	and of text summarization and simplification systems in	page=4 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	general, has mostly been conducted as intrinsic evalua-	page=4 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion by human experts. Recently, Papineni et al.’s (2001)	page=4 xpos=0 ypos=1 left-column full-justified aligned-line year headchar-lower
I-Body	proposal for an automatic evaluation of translation sys-	page=4 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tems by measuring n-gram matches of the system out-	page=4 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	put against reference examples has become popular for	page=4 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	evaluation of summarization systems. In addition, an au-	page=4 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tomatic evaluation method based on context-free deletion	page=4 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	decisions has been proposed by Jing (2000). However, for	page=4 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-lower
I-Body	summarization systems that employ a linguistic parser as	page=4 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	an integral system component, it is possible to employ	page=4 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	the standard evaluation techniques for parsing directly	page=4 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	to an evaluation of summarization quality. A parsing-	page=4 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	based evaluation allows us to measure the semantic as-	page=4 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	pects of summarization quality in terms of grammatical-	page=4 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	functional information provided by deep parsers. Further-	page=4 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	more, human expertise was necessary only for the cre-	page=4 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ation of condensed versions of sentences, and for the	page=4 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	manual disambiguation of parses assigned to those sen-	page=4 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tences. Given such a gold standard, summarization qual-	page=4 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ity of a system can be evaluated automatically and re-	page=4 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	peatedly by matching the structures of the system out-	page=4 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	put against the gold standard structures. The standard	page=4 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	metrics of precision, recall, and F-score from statisti-	page=4 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cal parsing can be used as evaluation metrics for mea-	page=4 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	suring matching quality: Precision measures the number	page=4 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	of matching structural items in the parses of the sys-	page=4 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tem output and the gold standard, out of all structural	page=4 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	items in the system output’s parse; recall measures the	page=4 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	number of matches, out of all items in the gold stan-	page=4 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dard’s parse. F-score balances precision and recall as	page=4 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
E-Body	(2 × precision × recall)/(precision + recall).	page=4 xpos=0 ypos=6 left-column right-indent font-larger aligned-line shorter-tail tailchar-period above-line-space
B-Body	For the sentence condensation system presented above,	page=4 xpos=0 ypos=6 left-column left-indent indented-line longer-tail line-space headchar-capital tailchar-comma
I-Body	the structural items to be matched consist of rela-	page=4 xpos=0 ypos=6 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	tion(predicate, argument) triples. For example, the gold-	page=4 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	standard f -structure of Fig. 2 corresponds to 23 depen-	page=4 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dency relations, the first 14 of which are shared with the	page=4 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	reduced f -structure chosen by the stochastic disambigua-	page=4 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion system:	page=4 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-colon above-double-space above-line-space
B-Listitem	tense(be:0, pres),	page=4 xpos=0 ypos=8 left-column left-indent right-indent font-smallest indented-line longer-tail line-double-space line-space headchar-lower tailchar-comma
B-Listitem	mood(be:0, indicative),	page=4 xpos=0 ypos=8 left-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-comma
B-Listitem	subj(be:0, prototype:2),	page=4 xpos=0 ypos=8 left-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-comma
B-Listitem	xcomp(be:0, ready:1),	page=4 xpos=0 ypos=8 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-comma
B-Listitem	stmt_type(be:0, declarative),	page=4 xpos=0 ypos=8 left-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-comma
B-Listitem	vtype(be:0, copular),	page=4 xpos=0 ypos=8 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-comma
B-Listitem	subj(ready:1, prototype:2),	page=4 xpos=0 ypos=8 left-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-comma
B-Listitem	adegree(ready:1, positive),	page=4 xpos=0 ypos=9 left-column left-indent right-indent font-smallest aligned-line headchar-lower tailchar-comma
B-Listitem	atype(ready:1, predicative),	page=4 xpos=0 ypos=9 left-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-comma
B-Listitem	det(prototype:2, a:7),	page=4 xpos=0 ypos=9 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-comma
B-Listitem	num(prototype:2, sg),	page=4 xpos=0 ypos=9 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-comma
B-Listitem	pers(prototype:2, 3),	page=4 xpos=0 ypos=9 left-column left-indent right-indent font-smallest aligned-line headchar-lower tailchar-comma
B-Listitem	det_form(a:7, a),	page=4 xpos=0 ypos=9 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-comma column-bottom
B-Listitem	det_type(a:7, indef),	page=4 xpos=5 ypos=0 right-column left-indent right-indent font-smallest column-top headchar-lower tailchar-comma
B-Listitem	adjunct(be:0, for:12),	page=4 xpos=5 ypos=0 right-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-comma
B-Listitem	obj(for:12, test:14),	page=4 xpos=5 ypos=0 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-comma
B-Listitem	adv_type(for:12, vpadv),	page=4 xpos=5 ypos=0 right-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-comma
B-Listitem	psem(for:12, unspecified),	page=4 xpos=5 ypos=0 right-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-comma
B-Listitem	ptype(for:12, semantic),	page=4 xpos=5 ypos=0 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-comma
B-Listitem	num(test:14, sg),	page=4 xpos=5 ypos=0 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-comma
B-Listitem	pers(test:14, 3),	page=4 xpos=5 ypos=1 right-column left-indent right-indent font-smallest aligned-line headchar-lower tailchar-comma
B-Listitem	pform(test:14, for),	page=4 xpos=5 ypos=1 right-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-comma
B-Listitem	vtype(test:14, main).	page=4 xpos=5 ypos=1 right-column left-indent right-indent font-smallest aligned-line longer-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	Matching these f -structures against each other corre-	page=4 xpos=5 ypos=1 right-column full-justified hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	sponds to a precision of 1, recall of .61, and F-score of	page=4 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
E-Body	.76.	page=4 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail tailchar-period above-line-space
B-Body	The fact that our method does not rely on a compar-	page=4 xpos=5 ypos=2 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	ison of the characteristics of surface strings is a clear	page=4 xpos=5 ypos=2 right-column full-justified hanged-line headchar-lower
I-Body	advantage. Such comparisons are bad at handling exam-	page=4 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ples which are similar in meaning but differ in word or-	page=4 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	der or vary structurally, such as in passivization or nom-	page=4 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	inalization. Our method handles such examples straight-	page=4 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	forwardly. Fig. 4 shows two serialization variants of the	page=4 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	condensed sentence of Fig. 2. The f -structures for these	page=4 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	examples are similar to the f -structure assigned to the	page=4 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	gold standard condensation shown in Fig. 2 (except for	page=4 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	the relations ADJUNT-TYPE:parenthetical ver-	page=4 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sus ADV-TYPE:vpadv versus ADV-TYPE:sadv). An	page=4 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	evaluation of summarization quality that is based on	page=4 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	matching f -structures will treat these examples equally,	page=4 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	whereas an evaluation based on string matching will yield	page=4 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
E-Body	different quality scores for different serializations.	page=4 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
Figure	__Figure 4__	page=4 xpos=5 ypos=5 right-column left-indent right-over box indented-line longer-tail line-double-space line-space figure-area above-blank-line above-double-space above-line-space
B-Caption	Figure 4: F -structure for word-order variants of gold	page=4 xpos=5 ypos=9 right-column full-justified hanged-line shorter-tail line-blank-line line-double-space line-space string-figure headchar-capital
E-Caption	standard condensation.	page=4 xpos=5 ypos=9 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period page-bottom
B-Body	In the next section, we present experimental results	page=5 xpos=0 ypos=0 left-column left-indent page-top headchar-capital
I-Body	of an automatic evaluation of the sentence condensation	page=5 xpos=0 ypos=0 left-column full-justified hanged-line headchar-lower
I-Body	system described above. These results show a close cor-	page=5 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	respondence between automatically produced evaluation	page=5 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	results and human judgments on the quality of generated	page=5 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
E-Body	condensed strings.	page=5 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	4 Experimental Evaluation	page=5 xpos=0 ypos=1 left-column right-indent font-largest aligned-line longer-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	The sentences and condensations we used are taken from	page=5 xpos=0 ypos=1 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	data for the experiments of Knight and Marcu (2000),	page=5 xpos=0 ypos=1 left-column full-justified aligned-line year headchar-lower tailchar-comma
I-Body	which were provided to us by Daniel Marcu. These data	page=5 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	consist of pairs of sentences and their condensed versions	page=5 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	that have been extracted from computer-news articles and	page=5 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	abstracts of the Ziff-Davis corpus. Out of these data, we	page=5 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	parsed and manually disambiguated 500 sentence pairs.	page=5 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	These included a set of 32 sentence pairs that were used	page=5 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital
I-Body	for testing purposes in Knight and Marcu (2000). In or-	page=5 xpos=0 ypos=3 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	der to control for the small corpus size of this test set, we	page=5 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	randomly extracted an additional 32 sentence pairs from	page=5 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	the 500 parsed and disambiguated examples as a second	page=5 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	test set. The rest of the 436 randomly selected sentence	page=5 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	pairs were used to create training data. For the purpose	page=5 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	of discriminative training, a gold-standard of transferred	page=5 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	f -structures was created from the transfer output and the	page=5 xpos=0 ypos=4 left-column full-justified aligned-line itemization headchar-lower
I-Body	manually selected f -structures for the condensed strings.	page=5 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	This was done automatically by selecting for each exam-	page=5 xpos=0 ypos=4 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	ple the transferred f -structure that best matched the f -	page=5 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
