Title	Automatic Segmentation of Multiparty Dialogue	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
I-Body	which is empirically determined. For each utter-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ance boundary, LCSeg calculates a lexical cohe-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sion score by computing the cosine similarity at	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	the transition between the two windows. Low sim-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ilarity indicates low lexical cohesion, and a sharp	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	change in lexical cohesion score indicates a high	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	probability of an actual topic boundary. The prin-	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen column-bottom
I-Body	cipal difference between LCSeg and TextTiling is	page=2 xpos=5 ypos=0 right-column full-justified column-top headchar-lower
I-Body	that LCSeg measures similarity in terms of lexical	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	chains (i.e., term repetitions), whereas TextTiling	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
E-Body	computes similarity using word counts.	page=2 xpos=5 ypos=0 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsubsectionHeader	3.3.2 Integrating lexical and	page=2 xpos=5 ypos=0 right-column right-indent aligned-line shorter-tail line-double-space line-space numbered-heading3
I-SubsubsectionHeader	conversation-based features	page=2 xpos=5 ypos=1 right-column left-indent right-indent indented-line longer-tail headchar-lower above-line-space
B-Body	We also used machine learning approaches that	page=2 xpos=5 ypos=1 right-column left-indent hanged-line longer-tail line-space headchar-capital
I-Body	integrate features into a combined model, cast-	page=2 xpos=5 ypos=1 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	ing topic segmentation as a binary classification	page=2 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	task. Under this supervised learning scheme, a	page=2 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	training set in which each potential topic bound-	page=2 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ary <sup>2</sup> is labelled as either positive (POS) or neg-	page=2 xpos=5 ypos=2 right-column full-justified font-largest aligned-line headchar-lower tailchar-hiphen
I-Body	ative (NEG) is used to train a classifier to pre-	page=2 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dict whether each unseen example in the test set	page=2 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	belongs to the class POS or NEG. Our objective	page=2 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	here is to determine whether the advantage of in-	page=2 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tegrating lexical and conversational features also	page=2 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	improves automatic topic segmentation at the finer	page=2 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	granularity of subtopic levels, as well as when	page=2 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
E-Body	ASR transcriptions are used.	page=2 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail headchar-capital tailchar-period
B-Body	For this study, we trained decision trees (c4.5)	page=2 xpos=5 ypos=3 right-column left-indent indented-line longer-tail headchar-capital
I-Body	to learn the best indicators of topic boundaries.	page=2 xpos=5 ypos=4 right-column full-justified hanged-line headchar-lower tailchar-period
I-Body	We first used features extracted with the optimal	page=2 xpos=5 ypos=4 right-column full-justified aligned-line headchar-capital
I-Body	window size reported to perform best in Galley et	page=2 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	al. (2003) for segmenting meeting transcripts into	page=2 xpos=5 ypos=4 right-column full-justified aligned-line year headchar-lower
I-Body	major topical units. In particular, this study uses	page=2 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	the following features: (1) lexical cohesion fea-	page=2 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tures: the raw lexical cohesion score and proba-	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	bility of topic shift indicated by the sharpness of	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	change in lexical cohesion score, and (2) conver-	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sational features: the number of cue phrases in	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	an analysis window of 5 seconds preceding and	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	following the potential boundary, and other inter-	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	actional features, including similarity of speaker	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	activity (measured as a change in probability dis-	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tribution of number of words spoken by each	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	speaker) within 5 seconds preceding and follow-	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing each potential boundary, the amount of over-	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lapping speech within 30 seconds following each	page=2 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	potential boundary, and the amount of silence be-	page=2 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tween speaker turns within 30 seconds preceding	page=2 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
E-Body	each potential boundary.	page=2 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	3.4 Evaluation	page=2 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	To compare to prior work, we perform a 25-	page=2 xpos=5 ypos=8 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	fold leave-one-out cross validation on the set of	page=2 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	25 ICSI meetings that were used in Galley et	page=2 xpos=5 ypos=8 right-column full-justified aligned-line numbered-heading1 above-double-space above-line-space
B-Footnote	<sup>2</sup> In this study, the end of each speaker turn is a potential	page=2 xpos=5 ypos=8 right-column left-indent indented-line line-double-space line-space headchar-super
I-Footnote	segment boundary. If there is a pause of more than 1 second	page=2 xpos=5 ypos=9 right-column full-justified font-smallest hanged-line headchar-lower
I-Footnote	within a single speaker turn, the turn is divided at the begin-	page=2 xpos=5 ypos=9 right-column full-justified font-smallest aligned-line headchar-lower tailchar-hiphen
I-Footnote	ning of the pause creating a potential segment boundary.	page=2 xpos=5 ypos=9 right-column right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period column-bottom above-blank-line above-double-space above-line-space
Page	275	page=2 xpos=4 ypos=9 single-column left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
I-Body	al. (2003). We repeated the procedure to eval-	page=3 xpos=0 ypos=0 left-column full-justified page-top year headchar-lower tailchar-hiphen
I-Body	uate the accuracy using the lexical cohesion and	page=3 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	combined models on both human and ASR tran-	page=3 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	scriptions. In each evaluation, we trained the au-	page=3 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tomatic segmentation models for two tasks: pre-	page=3 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dicting subtopic boundaries (SUB) and predicting	page=3 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
E-Body	only top-level boundaries (TOP).	page=3 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SubsubsectionHeader	3.4.1 Evaluation metrics	page=3 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail line-blank-line line-double-space line-space numbered-heading3 above-double-space above-line-space
B-Body	In order to be able to compare our results di-	page=3 xpos=0 ypos=1 left-column left-indent indented-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	rectly with previous work, we first report our re-	page=3 xpos=0 ypos=2 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	sults using the standard error rate metrics of Pk	page=3 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	and Wd. Pk (Beeferman et al., 1999) is the prob-	page=3 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	ability that two utterances drawn randomly from a	page=3 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	document (in our case, a meeting transcript) are in-	page=3 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	correctly identified as belonging to the same topic	page=3 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	segment. WindowDiff (Wd) (Pevzner and Hearst,	page=3 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	2002) calculates the error rate by moving a sliding	page=3 xpos=0 ypos=3 left-column full-justified aligned-line year
I-Body	window across the meeting transcript counting the	page=3 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	number of times the hypothesized and reference	page=3 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
E-Body	segment boundaries are different.	page=3 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SubsubsectionHeader	3.4.2 Baseline	page=3 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail line-blank-line line-double-space line-space numbered-heading3 above-double-space above-line-space
B-Body	To compute a baseline, we follow Kan (2003)	page=3 xpos=0 ypos=4 left-column left-indent indented-line longer-tail line-double-space line-space year headchar-capital
I-Body	and Hearst (1997) in using Monte Carlo simu-	page=3 xpos=0 ypos=4 left-column full-justified hanged-line year headchar-lower tailchar-hiphen
I-Body	lated segments. For the corpus used as training	page=3 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	data in the experiments, the probability of a poten-	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tial topic boundary being an actual one is approxi-	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mately 2.2% for all subtopic segments, and 0.69%	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	for top-level topic segments. Therefore, the Monte	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	Carlo simulation algorithm predicts that a speaker	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-capital
I-Body	turn is a segment boundary with these probabilities	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	for the two different segmentation tasks. We exe-	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cuted the algorithm 10,000 times on each meeting	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	and averaged the scores to form the baseline for	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
E-Body	our experiments.	page=3 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SubsectionHeader	3.4.3 Topline	page=3 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail line-blank-line line-double-space line-space numbered-heading3 above-double-space above-line-space
B-Body	For the 24 meetings that were used in training,	page=3 xpos=0 ypos=7 left-column left-indent indented-line longer-tail line-double-space line-space headchar-capital tailchar-comma
I-Body	we have top-level topic boundaries annotated by	page=3 xpos=0 ypos=7 left-column full-justified hanged-line headchar-lower
I-Body	coders at Columbia University (Col) and in our lab	page=3 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	at Edinburgh (Edi). We take the majority opinion	page=3 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	on each segment boundary from the Col annota-	page=3 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tors as reference segments. For the Edi annota-	page=3 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tions of top-level topic segments, where multiple	page=3 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	annotations exist, we choose one randomly. The	page=3 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	topline is then computed as the Pk score compar-	page=3 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing the Col majority annotation to the Edi annota-	page=3 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tion.	page=3 xpos=0 ypos=9 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period column-bottom
B-SectionHeader	4 Results	page=3 xpos=5 ypos=0 right-column right-indent font-larger column-top numbered-heading1 above-double-space above-line-space
B-SubsectionHeader	4.1 Experiment 1: Predicting top-level and	page=3 xpos=5 ypos=0 right-column right-indent aligned-line longer-tail line-double-space line-space numbered-heading2
I-SubsectionHeader	subtopic segment boundaries	page=3 xpos=5 ypos=0 right-column left-indent right-indent indented-line shorter-tail headchar-lower above-double-space above-line-space
B-Body	The meetings in the ICSI corpus last approxi-	page=3 xpos=5 ypos=0 right-column full-justified hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	mately 1 hour and have an average of 8-10 top-	page=3 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	level topic segments. In order to facilitate meet-	page=3 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing browsing and question-answering, we believe	page=3 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	it is useful to include subtopic boundaries in or-	page=3 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	der to narrow in more accurately on the portion	page=3 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	of the meeting that contains the information the	page=3 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	user needs. Therefore, we performed experiments	page=3 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	aimed at analysing how the LM and CM seg-	page=3 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mentation models behave in predicting segment	page=3 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	boundaries at the two different levels of granular-	page=3 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	ity.	page=3 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	All of the results are reported on the test set.	page=3 xpos=5 ypos=2 right-column left-indent indented-line longer-tail headchar-capital tailchar-period
I-Body	Table 1 shows the performance of the lexical co-	page=3 xpos=5 ypos=3 right-column full-justified hanged-line string-table headchar-capital tailchar-hiphen
I-Body	hesion model (LM) and the combined model (CM)	page=3 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	integrating the lexical cohesion and conversational	page=3 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	features discussed in Section 3.3.2. <sup>3</sup> For the task	page=3 xpos=5 ypos=3 right-column full-justified font-largest aligned-line headchar-lower
I-Body	of predicting top-level topic boundaries from hu-	page=3 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	man transcripts, CM outperforms LM. LM tends	page=3 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	to over-predict on the top-level, resulting in a	page=3 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	higher false alarm rate. However, for the task of	page=3 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	predicting subtopic shifts, LM alone is consider-	page=3 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	ably better than CM.	page=3 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
Table	__Table 1__	page=3 xpos=5 ypos=5 right-column left-over right-over box hanged-line longer-tail line-double-space line-space table-area above-double-space above-line-space
B-Caption	Table 1: Performance comparison of probabilistic	page=3 xpos=5 ypos=6 right-column full-justified indented-line shorter-tail line-double-space line-space string-table headchar-capital
E-Caption	segmentation models.	page=3 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	In order to support browsing during the meeting	page=3 xpos=5 ypos=6 right-column left-indent indented-line longer-tail line-double-space line-space headchar-capital
I-Body	or shortly thereafter, automatic topic segmentation	page=3 xpos=5 ypos=7 right-column full-justified hanged-line headchar-lower
I-Body	will have to operate on the transcriptions produced	page=3 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	by ASR. First note from Table 1 that the prefer-	page=3 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ence of models for segmentation at the two differ-	page=3 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ent levels of granularity is the same for ASR and	page=3 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	human transcriptions. CM is better for predicting	page=3 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	top-level boundaries and LM is better for predict-	page=3 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing subtopic boundaries. This suggests that these	page=3 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower above-double-space above-line-space
B-Footnote	<sup>3</sup> We do not report Wd scores for the combined model	page=3 xpos=5 ypos=8 right-column left-indent indented-line line-double-space line-space headchar-super
I-Footnote	(CM) on ASR output because this model predicted 0 segment	page=3 xpos=5 ypos=8 right-column full-justified font-smallest hanged-line
I-Footnote	boundaries when operating on ASR output. In our experi-	page=3 xpos=5 ypos=8 right-column full-justified font-smallest aligned-line headchar-lower tailchar-hiphen
I-Footnote	ence, CM routinely underpredicted the number of segment	page=3 xpos=5 ypos=9 right-column full-justified font-smallest aligned-line headchar-lower
I-Footnote	boundaries, and due to the nature of the Wd metric, it should	page=3 xpos=5 ypos=9 right-column full-justified font-smallest aligned-line headchar-lower
I-Footnote	not be used when there are 0 hypothesized topic boundaries.	page=3 xpos=5 ypos=9 right-column right-indent font-smallest aligned-line headchar-lower tailchar-period column-bottom above-blank-line above-double-space above-line-space
Page	276	page=3 xpos=4 ypos=9 single-column left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
I-Body	are two distinct tasks, regardless of whether the	page=4 xpos=0 ypos=0 left-column full-justified page-top headchar-lower
I-Body	system operates on human produced transcription	page=4 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	or ASR output. Subtopics are better characterized	page=4 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	by lexical cohesion, whereas top-level topic shifts	page=4 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	are signalled by conversational features as well as	page=4 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
E-Body	lexical-cohesion based features.	page=4 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsubsectionHeader	4.1.1 Effect of feature combinations:	page=4 xpos=0 ypos=1 left-column right-indent aligned-line longer-tail line-double-space line-space numbered-heading3 tailchar-colon
I-SubsubsectionHeader	predicting from human transcripts	page=4 xpos=0 ypos=1 left-column left-indent right-indent indented-line longer-tail headchar-lower above-line-space
B-Body	Next, we wish to determine which features in	page=4 xpos=0 ypos=1 left-column left-indent hanged-line longer-tail line-space headchar-capital
I-Body	the combined model are most effective for predict-	page=4 xpos=0 ypos=1 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	ing topic segments at the two levels of granularity.	page=4 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Table 2 gives the average Pk for all 25 meetings	page=4 xpos=0 ypos=2 left-column full-justified aligned-line string-table headchar-capital
I-Body	in the test set, using the features described in Sec-	page=4 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion 3.3.2. We group the features into four classes:	page=4 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-colon
I-Body	(1) lexical cohesion-based features (LF): including	page=4 xpos=0 ypos=2 left-column full-justified aligned-line itemization
I-Body	lexical cohesion value (LCV) and estimated pos-	page=4 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	terior probability (LCP); (2) interaction features	page=4 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	(IF): the amount of overlapping speech (OVR),	page=4 xpos=0 ypos=3 left-column full-justified aligned-line tailchar-comma
I-Body	the amount of silence between speaker segments	page=4 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	(GAP), similarity of speaker activity (ACT); (3)	page=4 xpos=0 ypos=3 left-column full-justified aligned-line
I-Body	cue phrase feature (CUE); and (4) all available fea-	page=4 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tures (ALL). For comparison we also report the	page=4 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	baseline (see Section 3.4.2) generated by Monte	page=4 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	Carlo algorithm (MC-B). All of the models us-	page=4 xpos=0 ypos=4 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	ing one or more features from these classes out-	page=4 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	perform the baseline model. A one-way ANOVA	page=4 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	revealed this reliable effect on the top-level seg-	page=4 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mentation (F (7, 192) = 17.46, p < 0.01) as well	page=4 xpos=0 ypos=5 left-column full-justified font-largest aligned-line headchar-lower
I-Body	as on the subtopic segmentation task (F (7, 192) =	page=4 xpos=0 ypos=5 left-column full-justified font-largest aligned-line headchar-lower
E-Body	5.862, p < 0.01).	page=4 xpos=0 ypos=5 left-column right-indent font-largest aligned-line shorter-tail tailchar-period above-double-space above-line-space
Table	__Table 2__	page=4 xpos=0 ypos=5 left-column centered left-indent right-indent box indented-line longer-tail line-double-space line-space table-area above-double-space above-line-space
B-Caption	Table 2: Effect of different feature combinations	page=4 xpos=0 ypos=8 left-column full-justified hanged-line longer-tail line-double-space line-space string-table headchar-capital
I-Caption	for predicting topic boundaries from human tran-	page=4 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Caption	scripts. MC-B is the randomly generated baseline.	page=4 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-Body	As shown in Table 2, the best performing model	page=4 xpos=0 ypos=8 left-column left-indent indented-line line-blank-line line-double-space line-space headchar-capital
I-Body	for predicting top-level segments is the one us-	page=4 xpos=0 ypos=9 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	ing all of the features (ALL). This is not surpris-	page=4 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen column-bottom
I-Body	ing, because these were the features that Galley	page=4 xpos=5 ypos=0 right-column full-justified column-top headchar-lower
I-Body	et al. (2003) found to be most effective for pre-	page=4 xpos=5 ypos=0 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	dicting top-level segment boundaries in their com-	page=4 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	bined model. Looking at the results in more de-	page=4 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tail, we see that when we begin with LF features	page=4 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	alone and add other features one by one, the only	page=4 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	model (other than ALL) that achieves significant <sup>4</sup>	page=4 xpos=5 ypos=1 right-column full-justified font-largest aligned-line headchar-lower
I-Body	improvement (p < 0.05) over LF is LF+CUE,	page=4 xpos=5 ypos=1 right-column full-justified font-largest aligned-line headchar-lower tailchar-comma
I-Body	the model that combines lexical cohesion features	page=4 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
E-Body	with cue phrases.	page=4 xpos=5 ypos=1 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	When we look at the results for predicting	page=4 xpos=5 ypos=1 right-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	subtopic boundaries, we again see that the best	page=4 xpos=5 ypos=2 right-column full-justified hanged-line headchar-lower
I-Body	performing model is the one using all features	page=4 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	(ALL). Models using lexical-cohesion features	page=4 xpos=5 ypos=2 right-column full-justified aligned-line
I-Body	alone (LF) and lexical cohesion features with cue	page=4 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	phrases (LF+CUE) both yield significantly better	page=4 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	results than using interactional features (IF) alone	page=4 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	(p < 0.01), or using them with cue phrase features	page=4 xpos=5 ypos=3 right-column full-justified font-largest aligned-line
I-Body	(IF+CUE) (p < 0.01). Again, none of the interac-	page=4 xpos=5 ypos=3 right-column full-justified font-largest aligned-line tailchar-hiphen
I-Body	tional features used in combination with LF sig-	page=4 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nificantly improves performance. Indeed, adding	page=4 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	speaker activity change (LF+ACT) degrades the	page=4 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
E-Body	performance (p < 0.05).	page=4 xpos=5 ypos=4 right-column right-indent font-largest aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Therefore, we conclude that for predicting both	page=4 xpos=5 ypos=4 right-column left-indent indented-line longer-tail headchar-capital
I-Body	top-level and subtopic boundaries from human	page=4 xpos=5 ypos=4 right-column full-justified hanged-line headchar-lower
I-Body	transcriptions, the most important features are the	page=4 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	lexical cohesion based features (LF), followed	page=4 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	by cue phrases (CUE), with interactional features	page=4 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	contributing to improved performance only when	page=4 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
E-Body	used in combination with LF and CUE.	page=4 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	However, a closer look at the Pk scores in Ta-	page=4 xpos=5 ypos=5 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
